category	EC	gene_name	Hmm_file	Hmm_threshold
Amino Acid Metabolism	1.1.1.23	histidinol dehydrogenase		
Amino Acid Metabolism	1.1.1.3	homoserine dehydrogenase		
Amino Acid Metabolism	1.1.1.85	3-isopropylmalate dehydrogenase		
Amino Acid Metabolism	1.1.1.86	ketol-acid reductoisomerase		
Amino Acid Metabolism	1.3.1.12	prephenate dehydrogenase		
Amino Acid Metabolism	1.3.1.26	4-hydroxy-tetrahydrodipicolinate reductase		
Amino Acid Metabolism	1.4.1.1	alanine dehydrogenase		
Amino Acid Metabolism	1.4.1.13	glutamate synthase (NADPH) large chain; glutamate synthase (NADPH) small chain		
Amino Acid Metabolism	1.5.1.2	pyrroline-5-carboxylate reductase		
Amino Acid Metabolism	1.5.99.8	proline dehydrogenase		
Amino Acid Metabolism	2.1.2.1	glycine hydroxymethyltransferase		
Amino Acid Metabolism	2.1.3.3	ornithine carbamoyltransferase		
Amino Acid Metabolism	2.3.1.1	N-acetylglutamate synthase		
Amino Acid Metabolism	2.3.1.16	acetyl-CoA acyltransferase		
Amino Acid Metabolism	2.3.1.30	serine O-acetyltransferase		
Amino Acid Metabolism	2.3.3.13	2-isopropylmalate synthase		
Amino Acid Metabolism	2.4.2.17	ATP phosphoribosyltransferase		
Amino Acid Metabolism	2.5.1.16	spermidine synthase		
Amino Acid Metabolism	2.5.1.47	cysteine synthase		
Amino Acid Metabolism	2.5.1.48	cystathionine gamma-synthase		
Amino Acid Metabolism	2.5.1.54	3-deoxy-7-phosphoheptulonate synthase		
Amino Acid Metabolism	2.6.1.1	aspartate aminotransferase		
Amino Acid Metabolism	2.6.1.11	acetylornithine/N-succinyldiaminopimelate aminotransferase		
Amino Acid Metabolism	2.6.1.124	[amino-group carrier protein]-gamma-(L-lysyl/L-ornithyl)-L-glutamate aminotransferase		
Amino Acid Metabolism	2.6.1.13	ornithine--oxo-acid transaminase		
Amino Acid Metabolism	2.6.1.19	4-aminobutyrate aminotransferase; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase; 5-aminovalerate/4-aminobutyrate aminotransferase		
Amino Acid Metabolism	2.6.1.36	L-lysine 6-transaminase		
Amino Acid Metabolism	2.6.1.42	branched-chain amino acid aminotransferase		
Amino Acid Metabolism	2.6.1.45	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase		
Amino Acid Metabolism	2.6.1.52	phosphoserine aminotransferase		
Amino Acid Metabolism	2.6.1.57	aromatic-amino-acid transaminase		
Amino Acid Metabolism	2.6.1.66	valine--pyruvate aminotransferase		
Amino Acid Metabolism	2.6.1.81	succinylornithine aminotransferase		
Amino Acid Metabolism	2.6.1.9	histidinol-phosphate aminotransferase		
Amino Acid Metabolism	2.7.1.39	homoserine kinase		
Amino Acid Metabolism	2.7.1.71	shikimate kinase		
Amino Acid Metabolism	2.7.2.11	glutamate 5-kinase		
Amino Acid Metabolism	2.7.2.4	aspartate kinase		
Amino Acid Metabolism	2.7.2.8	acetylglutamate kinase		
Amino Acid Metabolism	2.8.3.5	3-oxoacid CoA-transferase		
Amino Acid Metabolism	3.5.1.2	glutaminase		
Amino Acid Metabolism	3.5.3.11	agmatinase		
Amino Acid Metabolism	3.5.4.1	cytosine/creatinine deaminase		
Amino Acid Metabolism	3.5.4.19	phosphoribosyl-AMP cyclohydrolase		
Amino Acid Metabolism	3.6.1.31	phosphoribosyl-ATP pyrophosphohydrolase		
Amino Acid Metabolism	4.1.1.15	glutamate decarboxylase		
Amino Acid Metabolism	4.1.1.17	ornithine decarboxylase		
Amino Acid Metabolism	4.1.1.18	lysine decarboxylase		
Amino Acid Metabolism	4.1.1.19	arginine decarboxylase		
Amino Acid Metabolism	4.1.1.48	indole-3-glycerol phosphate synthase		
Amino Acid Metabolism	4.1.2.14	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase		
Amino Acid Metabolism	4.1.2.5	L-threonine aldolase		
Amino Acid Metabolism	4.1.3.27	anthranilate synthase		
Amino Acid Metabolism	4.1.3.38	4-amino-4-deoxychorismate lyase; para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase		
Amino Acid Metabolism	4.2.1.10	3-dehydroquinate dehydratase I; 3-dehydroquinate dehydratase II		
Amino Acid Metabolism	4.2.1.52	4-hydroxy-tetrahydrodipicolinate synthase		
Amino Acid Metabolism	4.2.1.9	dihydroxy-acid dehydratase		
Amino Acid Metabolism	4.2.3.1	threonine synthase		
Amino Acid Metabolism	4.2.3.5	chorismate synthase		
Amino Acid Metabolism	4.3.1.19	L-serine/L-threonine ammonia-lyase		
Amino Acid Metabolism	4.3.2.1	argininosuccinate lyase		
Amino Acid Metabolism	4.4.1.15	D-cysteine desulfhydrase		
Amino Acid Metabolism	5.1.1.13	aspartate racemase		
Amino Acid Metabolism	5.1.1.7	diaminopimelate epimerase		
Amino Acid Metabolism	5.4.99.5	chorismate mutase		
Amino Acid Metabolism	6.3.1.1	aspartate--ammonia ligase		
Amino Acid Metabolism	6.3.1.2	glutamine synthetase		
Amino Acid Metabolism	6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase		
Amino Acid Metabolism	6.3.4.4	adenylosuccinate synthase		
Amino Acid Metabolism	6.3.4.5	argininosuccinate synthase		
Amino Acid Metabolism	6.3.5.5	carbamoyl-phosphate synthase small subunit		
Amino Acid Metabolism	K05825	2-aminoadipate transaminase		
Aromatics degradation	1.13.11.1	catechol 1,2-dioxygenase		
Aromatics degradation	1.3.7.8	benzoyl-CoA reductase subunit A; benzoyl-CoA reductase subunit B; benzoyl-CoA reductase subunit C; benzoyl-CoA reductase subunit D		
Aromatics degradation	2.5.1.129	flavin prenyltransferase		
Aromatics degradation	4.1.1.61	vanillate/4-hydroxybenzoate decarboxylase subunit C		
As cycling	1.20.2.1	arsenite oxidase large subunit	aioA.hmm	800|full
As cycling	1.20.4.1	arsenate reductase (glutaredoxin)	arsC_glut.hmm	80|full
As cycling	1.20.4.4	arsenate reductase (thioredoxin)	arsC_thio.hmm	172|full
As cycling	2.1.1.137	arsenite methyltransferase	arsM.hmm	200|full
As cycling	N/A	dissimilatory arsenate reductase	arrA.hmm	175|full
As cycling	N/A	arsenite oxidase (molybdopterin subunit)	arxA.hmm	600|full
C1 metabolism	1.1.1.244	methanol dehydrogenase	TIGR04266.hmm	400.00|full
C1 metabolism	1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	TIGR02818.hmm	509.55|full
C1 metabolism	1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase	TIGR03451.hmm	512.15|full
C1 metabolism	1.1.2.7	methanol dehydrogenase (cytochrome c) subunit 1	methanol_dehydrogenase_pqq_xoxF_mxaF.hmm	400|full
C1 metabolism	1.17.1.9	formate dehydrogenase major subunit		
C1 metabolism	1.17.98.3	formate dehydrogenase (coenzyme F420) alpha subunit; formate dehydrogenase (coenzyme F420) beta subunit		
C1 metabolism	1.2.1.46	glutathione-independent formaldehyde dehydrogenase	TIGR02819.hmm	425.15|full
C1 metabolism	1.2.5.3	aerobic carbon-monoxide dehydrogenase small subunit; aerobic carbon-monoxide dehydrogenase medium subunit; aerobic carbon-monoxide dehydrogenase large subunit		
C1 metabolism	1.4.9.1	methylamine dehydrogenase light chain; methylamine dehydrogenase heavy chain	TIGR02659.hmm, TIGR02658.hmm	85.80|full, 90.50|full
C1 metabolism	3.1.2.12	S-formylglutathione hydrolase	TIGR02821.hmm	131.95|full
C1 metabolism	4.2.1.147	5,6,7,8-tetrahydromethanopterin hydro-lyase	TIGR03126.hmm	31.15|full
C1 metabolism	K00124	formate dehydrogenase iron-sulfur subunit		
Carbohydrate Metabolism	1.1.1.27	L-lactate dehydrogenase		
Carbohydrate Metabolism	1.1.2.3	L-lactate dehydrogenase (cytochrome)		
Carbohydrate Metabolism	2.1.2.1	glycine hydroxymethyltransferase		
Carbohydrate Metabolism	2.2.1.1	transketolase		
Carbohydrate Metabolism	2.2.1.2	transaldolase		
Carbohydrate Metabolism	2.3.1.54	formate C-acetyltransferase		
Carbohydrate Metabolism	2.3.3.1	citrate synthase		
Carbohydrate Metabolism	2.3.3.13	2-isopropylmalate synthase		
Carbohydrate Metabolism	2.4.1.21	starch synthase		
Carbohydrate Metabolism	2.7.1.12	gluconokinase		
Carbohydrate Metabolism	2.7.1.15	ribokinase		
Carbohydrate Metabolism	2.7.1.56	1-phosphofructokinase		
Carbohydrate Metabolism	2.7.1.6	galactokinase		
Carbohydrate Metabolism	2.7.2.15	propionate kinase		
Carbohydrate Metabolism	2.7.2.7	butyrate kinase		
Carbohydrate Metabolism	2.8.3.5	3-oxoacid CoA-transferase		
Carbohydrate Metabolism	3.2.1.15	polygalacturonase		
Carbohydrate Metabolism	3.2.1.20	alpha-glucosidase		
Carbohydrate Metabolism	3.2.1.23	beta-galactosidase		
Carbohydrate Metabolism	3.2.1.31	beta-glucuronidase		
Carbohydrate Metabolism	3.2.1.52	beta-N-acetylhexosaminidase		
Carbohydrate Metabolism	3.2.1.67	galacturan 1,4-alpha-galacturonidase		
Carbohydrate Metabolism	3.2.1.91	cellulose 1,4-beta-cellobiosidase		
Carbohydrate Metabolism	3.5.1.25	N-acetylglucosamine-6-phosphate deacetylase		
Carbohydrate Metabolism	4.1.1.15	glutamate decarboxylase		
Carbohydrate Metabolism	4.1.1.41	methylmalonyl-CoA decarboxylase subunit alpha		
Carbohydrate Metabolism	4.1.2.14	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase		
Carbohydrate Metabolism	4.2.1.12	phosphogluconate dehydratase		
Carbohydrate Metabolism	4.2.2.2	pectate lyase		
