Family	Enzyme	Substrate	Class of Substrate
GH163	endo-β-N-acetylglucosaminidase	acetylglucosaminide	amino sugar
GH050	β-agarase	agarose	other polysaccharides
GH086	β-agarase	agarose	other polysaccharides
GH096	α-agarase	agarose	other polysaccharides
GH118	β-agarase	agarose	other polysaccharides
GH035	β-galactosidase	AG-oligosaccharide	hemicellulose
GH042	β-galactosidase	AG-oligosaccharide	hemicellulose
GH147	β-galactosidase	AG-oligosaccharide	hemicellulose
GH160	endo-β-1,4-galactosidase	AG-oligosaccharide	hemicellulose
GH165	β-galactosidase	AG-oligosaccharide	hemicellulose
PL005	alginate lyase	alginate	other polysaccharides
PL006	alginate lyase	alginate	other polysaccharides
PL007	alginate lyase	alginate	other polysaccharides
PL014	alginate lyase	alginate	other polysaccharides
PL017	alginate lyase	alginate	other polysaccharides
PL018	alginate lyase	alginate	other polysaccharides
PL034	alginate lyase	alginate	cellulose
PL015	oligoalginate lyase	alginate oligosaccharide	other polysaccharides
GH071	α-1,3-glucanase	α-1,3-glucan	other polysaccharides
GH087	α-1,3-glucanase	α-1,3-glucan	other polysaccharides
GH123	N-acetylgalactosaminidase	amino sugar	amino sugar
GH129	N-acetylgalactosaminidase	amino sugar	amino sugar
GH049	dextranase; isopullulanase; dextran 1,6-α-isomaltotriosidase; sulfated arabinan endo-1,4-β-L-arabinanase	arabinan; dextran	other polysaccharides
GH093	exo-1,5-α-L-arabinanase	arabinanan	hemicellulose
GH053	β-1,4-endogalactanase	arabinogalactan	hemicellulose
GH121	β-arabinobiosidase	arabinoside	hemicellulose
GH159	β-D-galactofuranosidase	β-D-galactofuranoside	monosaccharides
GH150	l-carrageenase	carrageenan	other polysaccharides
GH094	cellobiose phosphorylase	cellobiose	cellulose
GH030	β-glucosidase; β-1,4-xylosidase; β-galactosidase; β-fucosidase	cellobiose; xylo-oligosaccharide; AG-oligosaccharide; D-fucoside	cellulose, hemicellulose
GH003	β-glucosidase; β-1,4-xylosidase; α-arabinofuranosidase; β-1,3-glucosidase	cellobiose; xylo-oligosaccharide; L-arabinofuranoside; D-glucan	cellulose, hemicellulose
GH006	endoglucanase; cellobiohydrolase	cellulose	cellulose
GH124	endoglucanase	cellulose	cellulose
GH131	exo-β-1,3-glucanase; exo-β-1,6-glucanase	cellulose	cellulose
GH132	β-1,3-glucanase	cellulose	cellulose
GH144	endo-β-1,2-glucanase; β-1,2-glucooligosaccharide sophorohydrolase	cellulose	cellulose
GH148	β-1,3-glucanase	cellulose	cellulose
GH149	β-1,3-glucan phosphorylase	cellulose	cellulose
GH157	endo-β-1,3-glucanase; endo-β-1,3-glucanase; laminarinase	cellulose	cellulose
GH158	endo-β-1,3-glucanase	cellulose	cellulose
GH161	β-1,3-glucan phosphorylase	cellulose	cellulose
GH162	endo-β-1,2-glucanase	cellulose	cellulose
GH009	β-1,4-endoglucanase; cellobiohydrolase; β-glucosidase	cellulose; cellobiose	cellulose
GH048	cellobiohydrolase; endo-β-1,4-glucanase; chitinase	cellulose; glucan; chitin	cellulose; hemicellulose; chitin
GH074	β-1,4-endoglucanase; endoglucanase; xyloglucanase	cellulose; hyloglucan	cellulose; hemicellulose
GH051	α-arabinofuranosidase; β-1,4-endoglucanase	cellulose; L-arabinofuranoside	cellulose; hemicellulose
GH008	chitosanase; β-1,4-endoglucanase; β-1,4-endoxylanase	cellulose; xylan; chitosan	cellulose; hemicellulose; chitin
GH005	chitosanase; β-mannosidase; cellulase; β-endomannanase; β-mannanase; β-1,4-endoxylanase; cellobiohydrolase; β-1,4-xylosidase	cellulose; xylan; mannan	cellulose; hemicellulose; chitin
GH044	β-1,4-endoglucanase; endoglucanase; xyloglucanase	cellulose; xyloglucan	cellulose; hemicellulose
GH045	endoglucanase; xyloglucan-specific endo-β-1,4-glucanase; endo-xyloglucanase; endo-β-1,4-mannanase	cellulose; xyloglucan; mannan	cellulose; hemicellulose
GH018	chitinase	chitin	chitin
GH019	chitinase	chitin	chitin
GH046	chitosanase	chitosan	chitin
GH075	chitosanase	chitosan	chitin
GH080	chitosanase	chitosan	chitin
PL023	chondroitin lyase	chondroitin	amino sugar
PL035	chondroitin lyase; chondroitinase; chondroitin AC lyase	chondroitin	amino sugar
PL037	chondroitin-sulfate ABC endolyase; heparin-sulfate lyase; heparin lyase III; ulvan lyase	chondroitin; ulvan	amino sugar; other polysaccharides
GH066	dextranase	dextran	other polysaccharides
