Category	Reaction_Letter	Reaction_long	Reaction_Letter_Long	General_Category	Genes
Sulfur oxidation	A	S2-=>S0	A:S2-=>S0	S-S-01:Sulfide oxidation	PF09242.hmm,sulfide_quinone_oxidoreductase_sqr.hmm
Sulfur oxidation	B	S0=>SO32-	B:S0=>SO32-	S-S-03:Sulfur oxidation	PF07682.hmm,sulfur_dioxygenase_sdo.hmm
Sulfur oxidation	C	SO32-=>SO42-	C:SO32-=>SO42-	S-S-04:Sulfite oxidation	aprA.hmm,TIGR00339.hmm
Sulfur oxidation	A+B		A+B		PF09242.hmm,sulfide_quinone_oxidoreductase_sqr.hmm,PF07682.hmm,sulfur_dioxygenase_sdo.hmm
Sulfur oxidation	B+C		B+C		PF07682.hmm,sulfur_dioxygenase_sdo.hmm,aprA.hmm,TIGR00339.hmm
Sulfur oxidation	A+B+C		A+B+C		PF09242.hmm,sulfide_quinone_oxidoreductase_sqr.hmm,PF07682.hmm,sulfur_dioxygenase_sdo.hmm,aprA.hmm,TIGR00339.hmm
Sulfur reduction	D	SO42-=>SO32-	D:SO42-=>SO32-	S-S-05:Sulfate reduction	aprA.hmm,TIGR00339.hmm
Sulfur reduction	E	SO32-=>S2-	E:SO32-=>S2-	S-S-06:Sulfite reduction	asrA.hmm,asrB.hmm,asrC.hmm,dsrA.hmm,dsrB.hmm,dsrD.hmm
Sulfur reduction	D+E		D+E		aprA.hmm,TIGR00339.hmm,asrA.hmm,asrB.hmm,asrC.hmm,dsrA.hmm,dsrB.hmm,dsrD.hmm
Denitrification	F	NO3-=>NO2-	F:NO3-=>NO2-	N-S-04:Nitrate reduction	TIGR01706.hmm,PF03892.hmm,TIGR01580.hmm,TIGR01660.hmm
Denitrification	G	NO2-=>NO	G:NO2-=>NO	N-S-05:Nitrite reduction	TIGR02376.hmm,nitrite_reductase_nirS.hmm,TIGR04315.hmm
Denitrification	H	NO=>N2O	H:NO=>N2O	N-S-06:Nitric oxide reduction	nitric_oxide_reductase_norB.hmm,nitric_oxide_reductase_norC.hmm
Denitrification	I	N2O=>N2	I:N2O=>N2	N-S-07:Nitrous oxide reduction	PF05048.hmm,TIGR04246.hmm
Denitrification	F+G		F+G		TIGR01706.hmm,PF03892.hmm,TIGR01580.hmm,TIGR01660.hmm,TIGR02376.hmm,nitrite_reductase_nirS.hmm,TIGR04315.hmm
Denitrification	G+H		G+H		TIGR02376.hmm,nitrite_reductase_nirS.hmm,TIGR04315.hmm,nitric_oxide_reductase_norB.hmm,nitric_oxide_reductase_norC.hmm
Denitrification	H+I		H+I		nitric_oxide_reductase_norB.hmm,nitric_oxide_reductase_norC.hmm,PF05048.hmm,TIGR04246.hmm
Denitrification	F+G+H+I		F+G+H+I		TIGR01706.hmm,PF03892.hmm,TIGR01580.hmm,TIGR01660.hmm,TIGR02376.hmm,nitrite_reductase_nirS.hmm,TIGR04315.hmm,nitric_oxide_reductase_norB.hmm,nitric_oxide_reductase_norC.hmm,PF05048.hmm,TIGR04246.hmm
Nitrogen fixation	J	N2=>NH4+	J:N2=>NH4+	N-S-01:Nitrogen fixation	TIGR01861.hmm,TIGR02931.hmm,TIGR02929.hmm,TIGR01282.hmm,TIGR01286.hmm,TIGR01860.hmm,TIGR02932.hmm,TIGR02930.hmm,TIGR01287.hmm
Nitrogen fixation	K	NH4+=>NO2-	K:NH4+=>NO2-	N-S-02:Ammonia oxidation	TIGR03080.hmm,TIGR03079.hmm,TIGR03078.hmm
Nitrogen fixation	L	NO2-=>NO3-	L:NO2-=>NO3-	N-S-03:Nitrite oxidation	nitrite_oxidoreductase_nxrA.hmm,nitrite_oxidoreductase_nxrB.hmm
Nitrogen fixation	J+K		J+K		TIGR01861.hmm,TIGR02931.hmm,TIGR02929.hmm,TIGR01282.hmm,TIGR01286.hmm,TIGR01860.hmm,TIGR02932.hmm,TIGR02930.hmm,TIGR01287.hmm,TIGR03080.hmm,TIGR03079.hmm,TIGR03078.hmm
Nitrogen fixation	K+L		K+L		TIGR03080.hmm,TIGR03079.hmm,TIGR03078.hmm,nitrite_oxidoreductase_nxrA.hmm,nitrite_oxidoreductase_nxrB.hmm
Nitrogen fixation	J+K+L		J+K+L		TIGR01861.hmm,TIGR02931.hmm,TIGR02929.hmm,TIGR01282.hmm,TIGR01286.hmm,TIGR01860.hmm,TIGR02932.hmm,TIGR02930.hmm,TIGR01287.hmm,TIGR03080.hmm,TIGR03079.hmm,TIGR03078.hmm,nitrite_oxidoreductase_nxrA.hmm,nitrite_oxidoreductase_nxrB.hmm
AG-oligosaccharide degradation - 1	M	arabinogalactan -> AG-oligosaccharide	M:arabinogalactan -> AG-oligosaccharide		β-1,4-endogalactanase; L-rhamnose-α-1,4-D-glucuronate lyase; L-Rhα-α-1,4-GlcA α-L-rhamnohydrolase
